City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-38.0023,-57.5575,24.9,70,0,7.2,AR,1667835213
1,souillac,-20.5167,57.5167,24.21,73,40,3.6,MU,1667835451
2,cape town,-33.9258,18.4232,22.23,57,0,5.66,ZA,1667835346
3,port blair,11.6667,92.75,28.02,78,40,1.03,IN,1667835451
4,pacific grove,36.6177,-121.9166,10.06,89,100,2.06,US,1667835452
5,torbay,47.6666,-52.7314,16.53,90,75,11.83,CA,1667835339
6,waipawa,-41.4122,175.5153,8.0,92,5,1.44,NZ,1667835452
7,dvinskoy,62.1535,45.1175,1.53,95,100,4.08,RU,1667835453
8,butaritari,3.0707,172.7902,26.43,76,30,3.02,KI,1667835453
9,krasnyy yar,46.5331,48.3456,3.96,65,21,2.43,RU,1667835453
10,busselton,-33.65,115.3333,13.54,84,99,5.69,AU,1667835454
11,narsaq,60.9167,-46.05,0.12,93,98,1.9,GL,1667835454
12,saint anthony,45.0205,-93.218,0.37,66,0,5.14,US,1667835454
13,punta arenas,-53.15,-70.9167,11.73,76,100,4.89,CL,1667835293
14,isangel,-19.55,169.2667,25.52,82,98,1.84,VU,1667835250
15,ushuaia,-54.8,-68.3,12.81,67,20,1.54,AR,1667835185
16,tiksi,71.6872,128.8694,-17.28,91,100,9.17,RU,1667835455
17,albany,42.6001,-73.9662,20.22,48,0,2.24,US,1667835417
18,bambous virieux,-20.3428,57.7575,24.14,73,40,3.6,MU,1667835456
19,labuhan,-6.8844,112.2051,26.75,79,100,0.22,ID,1667835456
20,mitsamiouli,-11.3847,43.2844,28.16,65,20,6.69,KM,1667835456
21,puerto ayora,-0.7393,-90.3518,23.98,82,43,1.79,EC,1667835457
22,praia da vitoria,38.7333,-27.0667,20.14,83,20,6.03,PT,1667835457
23,bluff,-46.6,168.3333,11.27,85,69,5.3,NZ,1667835458
24,luderitz,-26.6481,15.1594,20.94,67,65,5.54,NA,1667835458
25,alofi,-19.0595,-169.9187,19.94,88,15,2.06,NU,1667835458
26,thompson,55.7435,-97.8558,-17.91,85,40,2.57,CA,1667835459
27,atar,20.5169,-13.0499,35.95,9,0,4.48,MR,1667835459
28,barrow,71.2906,-156.7887,-3.99,80,100,5.66,US,1667835460
29,kapaa,22.0752,-159.319,25.06,84,40,6.69,US,1667835458
30,klaksvik,62.2266,-6.589,9.51,92,93,12.74,FO,1667835460
31,new norfolk,-42.7826,147.0587,12.06,84,25,1.44,AU,1667835461
32,borodino,55.9106,94.8983,-3.49,81,59,3.75,RU,1667835461
33,raigarh,21.9,83.4,21.85,62,62,0.35,IN,1667835461
34,cayenne,4.9333,-52.3333,30.02,70,75,3.09,GF,1667835462
35,dong hoi,17.4833,106.6,22.48,83,44,2.73,VN,1667835462
36,rawson,-43.3002,-65.1023,21.73,36,78,5.88,AR,1667835463
37,teguise,29.0605,-13.564,21.12,83,20,5.14,ES,1667835463
38,asau,46.4333,26.4,9.6,76,7,0.85,RO,1667835464
39,yulara,-25.2406,130.9889,25.73,44,84,2.64,AU,1667835464
40,ponta do sol,32.6667,-17.1,22.35,87,98,0.84,PT,1667835464
41,lethem,3.3803,-59.7968,30.03,74,40,6.17,GY,1667835465
42,ormara,25.2088,64.6357,26.08,70,19,2.38,PK,1667835465
43,east london,-33.0153,27.9116,22.52,83,0,3.09,ZA,1667835465
44,tabou,4.423,-7.3528,27.85,73,84,3.24,CI,1667835466
45,mataura,-46.1927,168.8643,8.1,98,93,0.39,NZ,1667835466
46,kawalu,-7.3817,108.2082,22.05,98,100,0.39,ID,1667835467
47,rorvik,64.8621,11.2373,5.06,81,37,3.09,NO,1667835467
48,kijang,35.2442,129.2139,8.85,41,0,1.8,KR,1667835467
49,batemans bay,-35.7167,150.1833,12.75,96,27,1.67,AU,1667835468
50,takoradi,4.8845,-1.7554,28.38,70,100,4.48,GH,1667835279
51,vaitape,-16.5167,-151.75,25.65,79,13,5.54,PF,1667835468
52,dikson,73.5069,80.5464,-13.56,92,100,5.0,RU,1667835469
53,tazovskiy,67.4667,78.7,-5.51,96,100,3.29,RU,1667835469
54,pangnirtung,66.1451,-65.7125,-10.0,48,20,2.57,CA,1667835469
55,vaini,-21.2,-175.2,22.09,88,20,1.54,TO,1667835470
56,broome,42.2506,-75.833,18.14,51,0,6.17,US,1667835470
57,hithadhoo,-0.6,73.0833,28.01,75,66,7.57,MV,1667835470
58,nishihara,26.1842,127.7558,23.6,78,100,4.12,JP,1667835471
59,mahebourg,-20.4081,57.7,24.16,73,40,3.6,MU,1667835471
60,hobart,-42.8794,147.3294,12.25,94,48,4.63,AU,1667835416
61,mogadishu,2.0371,45.3438,26.21,81,53,5.48,SO,1667835401
62,vitim,59.4511,112.5578,-0.79,96,100,4.51,RU,1667835472
63,winnemucca,40.973,-117.7357,2.03,60,75,5.66,US,1667835195
64,gualaquiza,-3.4,-78.55,24.24,66,57,1.95,EC,1667835472
65,jamestown,42.097,-79.2353,12.81,43,0,5.66,US,1667835473
66,ketchikan,55.3422,-131.6461,-2.74,31,0,5.66,US,1667835473
67,romanovo,52.6182,81.2271,-1.41,72,93,0.63,RU,1667835473
68,tianpeng,30.9866,103.9393,16.26,80,94,0.96,CN,1667835474
69,tuy hoa,13.0833,109.3,23.28,90,100,2.76,VN,1667835474
70,muyezerskiy,63.9333,31.65,4.5,98,100,2.83,RU,1667835474
71,kuandian,40.7286,124.7847,2.79,82,0,1.58,CN,1667835475
72,bengkulu,-3.8004,102.2655,23.86,92,100,2.84,ID,1667835314
73,baft,29.234,56.6057,11.19,32,0,1.91,IR,1667835475
74,arraial do cabo,-22.9661,-42.0278,23.92,60,75,2.57,BR,1667835476
75,bilibino,68.0546,166.4372,-22.12,98,19,1.93,RU,1667835476
76,avarua,-21.2078,-159.775,19.03,94,20,0.51,CK,1667835476
77,nikolskoye,59.7035,30.7861,6.94,82,100,3.97,RU,1667835477
78,baykit,61.67,96.37,-7.11,93,100,2.62,RU,1667835477
79,sao filipe,14.8961,-24.4956,26.73,64,100,3.95,CV,1667835477
80,tuktoyaktuk,69.4541,-133.0374,-17.0,78,40,2.57,CA,1667835478
81,mount gambier,-37.8333,140.7667,13.52,86,7,2.71,AU,1667835478
82,nelson bay,-32.7167,152.15,18.33,90,0,2.24,AU,1667835479
83,rikitea,-23.1203,-134.9692,22.64,88,100,10.18,PF,1667835479
84,algiers,36.7525,3.042,21.9,43,0,3.6,DZ,1667835434
85,sterling,39.0062,-77.4286,24.29,49,20,5.14,US,1667835480
86,upernavik,72.7868,-56.1549,-10.32,80,100,1.22,GL,1667835481
87,thai binh,20.45,106.3333,22.55,78,0,2.23,VN,1667835481
88,tias,28.9611,-13.645,21.82,83,20,5.14,ES,1667835481
89,naze,28.3667,129.4833,18.51,74,37,3.81,JP,1667835482
90,castro,-24.7911,-50.0119,19.9,42,1,1.42,BR,1667835482
91,tasiilaq,65.6145,-37.6368,-0.91,93,100,5.6,GL,1667835483
92,danville,36.586,-79.395,25.24,87,75,0.89,US,1667835483
93,erenhot,43.6475,111.9767,1.39,28,1,3.53,CN,1667835483
94,juarez,31.7333,-106.4833,19.27,30,75,4.12,MX,1667835309
95,diamantino,-14.4086,-56.4461,35.78,21,0,1.39,BR,1667835484
96,diu,20.7141,70.9822,25.35,57,36,2.09,IN,1667835484
97,yellowknife,62.456,-114.3525,-15.71,85,100,2.57,CA,1667835485
98,cockburn town,21.4612,-71.1419,26.47,75,22,5.34,TC,1667835485
99,chuy,-33.6971,-53.4616,20.31,53,8,6.1,UY,1667835486
100,hermanus,-34.4187,19.2345,19.89,72,3,8.28,ZA,1667835486
101,bethel,41.3712,-73.414,24.19,59,40,2.57,US,1667835199
102,kon tum,14.35,108.0,18.64,96,95,1.28,VN,1667835487
103,verkh-tula,54.8839,82.7762,-0.12,80,100,3.0,RU,1667835487
104,namibe,-15.1961,12.1522,25.35,73,0,7.72,AO,1667835488
105,clyde river,70.4692,-68.5914,-17.87,78,75,1.54,CA,1667835488
106,lebu,-37.6167,-73.65,15.2,65,12,4.39,CL,1667835195
107,khatanga,71.9667,102.5,-14.22,96,100,2.69,RU,1667835489
108,tocache,-8.1842,-76.5125,30.1,55,44,0.65,PE,1667835489
109,qaanaaq,77.484,-69.3632,-18.44,90,100,4.74,GL,1667835489
110,kiama,-34.6833,150.8667,17.22,82,32,0.89,AU,1667835490
111,labytnangi,66.6572,66.4183,-5.93,94,100,2.47,RU,1667835490
112,bokajan,26.0167,93.7833,18.9,92,0,0.72,IN,1667835491
113,verkhnevilyuysk,63.4453,120.3167,-27.97,100,19,1.09,RU,1667835491
114,ahipara,-35.1667,173.1667,14.21,92,100,5.65,NZ,1667835492
115,tambovka,50.0969,128.0489,-3.93,66,7,1.97,RU,1667835492
116,aksarka,66.5606,67.7975,-6.46,93,100,3.88,RU,1667835493
117,atocha,-20.9333,-66.2333,15.95,16,1,2.61,BO,1667835493
118,rock sound,24.9,-76.2,27.21,69,0,9.06,BS,1667835494
119,inta,66.0317,60.1659,-3.42,95,100,7.53,RU,1667835494
120,alice springs,-23.7,133.8833,19.75,22,5,0.0,AU,1667835495
121,bolobo,-2.1667,16.2333,27.17,71,67,1.56,CD,1667835495
122,jalu,29.0331,21.5482,22.57,51,96,4.2,LY,1667835496
123,hilo,19.7297,-155.09,21.73,94,100,2.57,US,1667835241
124,lata,40.1629,-8.3327,18.37,72,100,2.8,PT,1667835496
125,atuona,-9.8,-139.0333,24.76,69,99,5.75,PF,1667835497
126,coihaique,-45.5752,-72.0662,19.47,55,94,3.08,CL,1667835497
127,saldanha,-33.0117,17.9442,17.51,73,8,4.63,ZA,1667835498
128,tacoronte,28.4769,-16.4102,22.44,76,20,2.57,ES,1667835498
129,esperance,-33.8667,121.9,14.91,85,97,6.35,AU,1667835499
130,bredasdorp,-34.5322,20.0403,20.0,49,4,9.3,ZA,1667835256
131,khani,41.9563,42.9566,9.76,72,100,2.91,GE,1667835499
132,vila velha,-20.3297,-40.2925,24.97,77,20,5.14,BR,1667835345
133,port-gentil,-0.7193,8.7815,27.98,83,75,4.63,GA,1667835500
134,abu zabad,12.35,29.25,30.06,18,79,4.07,SD,1667835500
